Do you want to be in society?,Do you make an attempt to socialise?,Do you consume things to alter your perspective? (Alcohol and stuff),Are you depressed?,Do you try to improve yourself?,Would you compromise with a friend?,If you and another person were both thirsty and you only had enough water for one person; would you share with the other person?,If a colleague invited you to do something with them; how would you answer? (Date; hang-out; party; etc.),Are you anxious of social interaction?,Do you think you fit in with other people?,Do you shower more than twice a week?,Do you take care of your appearance? (shaving; hair styling; make up; fashion; etc.),Do you talk back in equal volume to someone that is talking to you? (Talking as much as they are to you and amplitude of voice),Which is more difficult?,Does it seem unrealistic to imagine yourself with another person in an intimate context? (Girlfriend; best friends; etc),Do you have long term goals?,Would you rather work in food service; or be unemployed?,You've lived a life with many moments where you regret doing nothing.,Is it reasonable to think that the majority of people are dumb?,Have you given up?,Are you currently celibate? (No sex for a while),Do you live your life by your own volition?,Can you look people in the eyes without discomfort?,Has anyone ever described you as awkward; autistic; weird; etc.?,Do you currently have a romantic partner? (Unrequited(crushes); non-exclusive and/or non-monogamous relationships DO NOT count),Do you currently have a medium for socialization? (Social media; work; etc.),Do you talk to people on a regular basis? (Internet stuff doesn't count),Do you have unconventional interests? (Anime; collecting specific items; weird fetishes; etc.),Are you currently in education; training or employment?,Are you good at speaking?,Is your family proud of you?,Do people usually like being around you?,Can you transport yourself easily?,Are you physically in-shape?,What is your biological sex?,How tall are you?,How attractive are you (from 0 to 10),What is your BMI?,How many friends and colleagues do you currently have?,Rate your life right now.,Which climate do you live in?,X,Y,result
A,N,D,0,A,Y,N,N,D,A,N,0,0,N,Y,Y,N,Y,Y,D,Y,N,Y,Y,Y,Y,Y,N,N,0,Y,Y,N,0,othersex,14,24,32,42,51,snow,-1.0,0.0,Lame normie
A,N,0,A,N,0,N,N,A,A,Y,0,D,Y,A,N,Y,Y,N,Y,N,Y,N,Y,N,Y,Y,N,Y,Y,0,0,N,0,othersex,14,24,32,42,51,polar,3.0,3.0,Normie
N,D,0,A,N,A,Y,Y,A,D,N,Y,A,N,Y,Y,N,Y,D,Y,N,N,N,Y,Y,N,N,N,Y,D,N,D,D,N,othersex,14,24,32,42,52,tropical,0.0,0.5,Cool normie
A,A,Y,A,D,N,Y,Y,A,A,N,0,A,N,Y,N,N,N,Y,Y,N,Y,Y,N,N,Y,Y,N,N,0,0,D,0,N,othersex,14,24,32,42,52,dry,3.0,0.5,Cool normie
Y,D,D,A,D,Y,Y,N,A,Y,N,0,D,N,A,N,Y,Y,0,A,N,N,N,N,N,Y,Y,N,Y,0,0,D,Y,0,othersex,14,24,32,42,52,mild,2.0,-3.0,Cool normie
N,A,N,Y,D,N,Y,Y,N,Y,Y,N,Y,N,D,N,Y,N,0,0,N,N,N,N,N,Y,Y,N,N,D,Y,0,Y,D,othersex,14,24,32,42,52,snow,0.0,-0.75,Cool normie
A,N,Y,D,A,D,N,N,D,Y,Y,Y,N,Y,A,N,N,N,Y,0,Y,N,N,Y,Y,N,N,Y,N,A,N,Y,0,D,othersex,14,24,32,42,52,polar,-5.0,-4.25,Sperg
0,0,Y,A,Y,A,Y,N,Y,A,Y,Y,N,Y,A,Y,Y,N,0,N,Y,Y,N,N,N,N,Y,N,Y,0,Y,0,D,A,othersex,14,24,32,42,53,tropical,1.0,4.75,Normie
D,D,Y,D,Y,A,N,Y,0,D,N,D,Y,Y,0,N,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,A,D,A,A,N,othersex,14,24,32,42,53,dry,-1.0,-3.5,Lame normie
N,Y,0,0,D,0,Y,Y,Y,A,N,D,0,Y,A,Y,N,N,D,D,Y,N,Y,Y,N,N,Y,N,N,Y,D,D,D,N,othersex,14,24,32,42,53,mild,-3.0,-0.5,Lame normie
A,Y,Y,A,A,N,N,Y,A,D,N,Y,A,Y,D,N,N,Y,0,Y,N,Y,Y,Y,Y,N,Y,Y,N,A,0,A,A,A,othersex,14,24,32,42,53,snow,1.0,6.0,Normie
Y,D,A,N,Y,0,Y,Y,Y,D,Y,N,Y,N,0,N,N,Y,D,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,0,A,D,D,othersex,14,24,32,42,53,polar,4.0,1.0,Cool normie
D,Y,D,A,0,Y,N,Y,Y,N,Y,D,Y,Y,N,N,Y,Y,A,A,N,N,N,N,N,Y,N,Y,Y,N,A,0,Y,A,othersex,14,24,32,42,54,tropical,0.0,0.25,Cool normie
Y,D,0,D,0,D,N,Y,D,A,Y,A,0,N,N,N,N,Y,N,0,N,Y,Y,Y,Y,N,N,Y,N,N,N,0,Y,A,othersex,14,24,32,42,54,dry,0.0,-0.75,Cool normie
0,N,Y,D,N,D,Y,N,0,N,Y,0,0,Y,A,N,Y,Y,A,0,Y,Y,Y,Y,N,Y,Y,Y,N,0,D,N,0,N,othersex,14,24,32,42,54,mild,-1.0,-3.5,Lame normie
0,N,D,D,D,D,Y,N,A,Y,Y,N,Y,N,N,Y,Y,Y,0,0,N,N,N,Y,Y,N,N,Y,N,A,Y,Y,0,N,othersex,14,24,32,42,54,snow,-3.0,-0.5,Lame normie
N,0,N,0,A,A,Y,N,A,D,Y,A,Y,N,Y,Y,N,N,N,Y,N,Y,Y,N,Y,Y,N,Y,N,A,D,D,0,D,othersex,14,24,32,42,54,polar,2.0,0.0,Cool normie
N,0,D,0,Y,A,N,Y,Y,A,Y,A,N,Y,N,Y,Y,N,Y,D,N,Y,Y,N,N,Y,Y,N,N,D,N,A,D,N,othersex,14,24,32,43,51,tropical,3.0,3.0,Normie
Y,A,Y,A,N,N,Y,N,N,N,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,Y,D,N,Y,0,N,othersex,14,24,32,43,51,dry,2.0,-0.25,Cool normie
A,Y,A,Y,0,A,Y,N,0,D,Y,D,Y,N,Y,N,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,A,A,othersex,14,24,32,43,51,mild,-2.0,2.75,Niche normie
0,D,A,A,N,D,N,N,A,0,Y,Y,Y,Y,A,N,Y,Y,Y,A,Y,N,Y,Y,Y,Y,Y,Y,Y,N,D,A,A,0,othersex,14,24,32,43,51,snow,0.0,0.0,Cool normie
N,Y,0,D,D,0,Y,Y,0,Y,Y,N,0,N,A,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,0,A,0,D,N,othersex,14,24,32,43,51,polar,-1.0,-2.75,Lame normie
D,Y,A,A,D,D,Y,Y,D,N,Y,D,0,Y,N,Y,Y,Y,A,A,N,N,N,Y,Y,Y,Y,N,Y,Y,D,A,0,A,othersex,14,24,32,43,52,tropical,2.0,0.0,Cool normie
N,N,Y,N,A,N,N,N,Y,D,Y,N,N,N,A,Y,Y,N,A,A,N,N,Y,N,N,Y,N,N,N,N,Y,Y,D,Y,othersex,14,24,32,43,52,dry,0.0,-4.75,Cool normie
A,N,N,0,0,N,N,N,Y,N,Y,0,D,Y,Y,N,Y,Y,N,0,N,N,N,N,N,N,Y,Y,Y,N,0,0,D,N,othersex,14,24,32,43,52,mild,0.0,-0.25,Cool normie
0,A,N,D,A,A,N,Y,Y,A,N,A,A,Y,Y,Y,N,Y,0,0,N,Y,Y,N,Y,Y,Y,N,Y,0,D,Y,A,A,othersex,14,24,32,43,52,snow,6.0,6.25,Party dude
Y,0,N,A,0,Y,Y,Y,A,A,Y,0,A,Y,0,Y,N,N,N,A,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,A,Y,othersex,14,24,32,43,52,polar,-2.0,5.75,Niche normie
A,Y,0,A,D,0,Y,N,A,A,Y,Y,N,Y,Y,Y,N,N,D,Y,Y,Y,N,Y,N,N,Y,Y,N,N,D,D,0,0,othersex,14,24,32,43,53,tropical,-3.0,1.75,Niche normie
D,A,Y,0,D,0,Y,N,0,0,Y,0,Y,Y,Y,N,N,N,A,0,Y,Y,N,N,Y,N,N,N,N,D,N,D,0,N,othersex,14,24,32,43,53,dry,-1.0,-4.75,Lame normie
N,A,D,D,N,N,Y,N,N,0,N,D,Y,N,0,N,Y,Y,D,A,N,Y,Y,Y,Y,Y,N,N,Y,D,Y,Y,0,D,othersex,14,24,32,43,53,mild,4.0,-4.0,Cool normie
N,Y,Y,D,A,D,Y,N,D,0,Y,A,D,N,N,Y,N,Y,0,Y,N,Y,N,N,Y,N,Y,Y,N,Y,N,A,Y,D,othersex,14,24,32,43,53,snow,1.0,-0.75,Cool normie
D,D,0,Y,Y,0,Y,Y,A,A,Y,A,A,Y,N,Y,Y,N,N,Y,N,N,Y,N,Y,Y,Y,Y,N,D,D,N,A,0,othersex,14,24,32,43,53,polar,1.0,3.5,Normie
D,N,A,0,Y,N,Y,N,N,N,N,A,0,N,D,N,Y,Y,0,A,Y,N,N,N,Y,N,N,Y,Y,N,0,Y,A,A,othersex,14,24,32,43,54,tropical,-2.0,0.0,Lame normie
N,A,A,0,0,N,Y,Y,0,Y,Y,N,A,Y,Y,Y,Y,N,Y,D,Y,Y,N,N,Y,N,N,N,N,Y,D,Y,D,A,othersex,14,24,32,43,54,dry,-1.0,4.25,Niche normie
N,D,N,A,A,N,Y,N,Y,0,Y,A,A,Y,Y,N,N,N,A,D,Y,Y,N,N,Y,Y,Y,N,Y,Y,A,Y,Y,N,othersex,14,24,32,43,54,mild,3.0,1.5,Normie
A,A,Y,N,D,N,Y,Y,N,Y,N,D,A,N,N,Y,N,N,A,A,Y,N,N,N,N,Y,N,N,Y,A,Y,N,Y,N,othersex,14,24,32,43,54,snow,-1.0,-2.25,Lame normie
D,0,D,Y,0,0,N,N,D,N,Y,D,Y,Y,Y,N,N,Y,0,N,N,N,N,N,N,N,Y,N,Y,N,Y,0,Y,A,othersex,14,24,32,43,54,polar,1.0,-3.25,Cool normie
Y,Y,A,0,N,N,Y,N,A,0,Y,Y,A,N,Y,N,Y,Y,0,Y,Y,Y,N,N,N,N,Y,Y,Y,D,A,Y,Y,A,othersex,14,24,33,41,51,tropical,-2.0,3.5,Niche normie
0,Y,D,0,A,D,N,N,A,A,Y,Y,D,N,D,N,Y,Y,A,A,Y,N,N,Y,N,Y,Y,Y,N,Y,0,0,Y,Y,othersex,14,24,33,41,51,dry,-6.0,-0.25,Sperg
D,D,A,0,A,A,Y,Y,D,Y,N,N,A,Y,Y,Y,N,N,Y,D,N,N,N,N,Y,N,N,Y,Y,0,A,N,A,A,othersex,14,24,33,41,51,mild,-2.0,2.0,Niche normie
Y,A,Y,A,0,D,Y,Y,D,Y,N,D,D,N,A,N,Y,Y,Y,0,Y,N,N,Y,Y,Y,Y,N,Y,0,D,A,A,0,othersex,14,24,33,41,51,snow,-2.0,-0.25,Lame normie
N,A,D,Y,A,0,N,Y,0,N,Y,0,D,N,Y,N,Y,Y,N,A,N,Y,Y,N,Y,N,Y,Y,N,A,D,A,D,N,othersex,14,24,33,41,51,polar,0.0,0.25,Cool normie
D,N,N,N,A,Y,Y,N,D,0,N,A,A,N,A,N,N,N,Y,D,Y,N,N,Y,Y,Y,N,N,Y,0,D,A,D,A,othersex,14,24,33,41,52,tropical,-2.5,-3.5,Lame normie
Y,0,A,D,Y,N,N,N,A,Y,Y,0,N,Y,N,N,Y,N,D,Y,N,Y,N,N,N,Y,N,Y,N,Y,N,A,A,N,othersex,14,24,33,41,52,dry,-1.5,1.25,Niche normie
0,Y,0,D,A,0,N,N,0,D,N,0,Y,N,0,Y,N,Y,D,A,Y,Y,N,N,Y,Y,Y,N,N,D,0,Y,N,A,othersex,14,24,33,41,52,mild,-0.5,-2.0,Lame normie
N,A,D,A,D,A,N,Y,Y,N,Y,D,D,N,D,Y,N,Y,D,0,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,D,A,A,othersex,14,24,33,41,52,snow,-0.5,2.5,Niche normie
A,D,0,N,D,0,N,N,D,0,N,D,Y,Y,A,Y,Y,Y,Y,A,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,A,othersex,14,24,33,41,52,polar,-5.5,-4.5,Sperg
N,N,D,A,Y,0,Y,N,N,N,N,0,A,N,N,N,Y,N,0,D,N,N,Y,N,N,N,Y,N,Y,A,D,0,Y,Y,othersex,14,24,33,41,53,tropical,1.0,-1.25,Cool normie
A,Y,D,N,A,A,N,Y,A,N,N,Y,0,N,A,Y,N,N,0,N,Y,Y,Y,N,Y,N,N,Y,N,D,A,A,Y,A,othersex,14,24,33,41,53,dry,-2.0,2.25,Niche normie
0,D,A,0,N,0,Y,Y,D,Y,Y,0,A,N,Y,Y,Y,Y,0,A,Y,N,N,Y,N,Y,N,Y,Y,0,0,D,Y,A,othersex,14,24,33,41,53,mild,-4.0,1.5,Failed normie
N,D,N,N,N,D,N,Y,0,D,N,N,0,Y,Y,N,Y,Y,A,0,N,Y,Y,N,N,Y,N,Y,N,N,Y,0,Y,A,othersex,14,24,33,41,53,snow,0.0,-3.75,Cool normie
N,Y,A,A,N,D,Y,Y,0,Y,N,Y,N,N,A,N,N,Y,0,D,N,N,Y,N,Y,Y,N,Y,N,A,A,A,A,0,othersex,14,24,33,41,53,polar,-1.0,3.5,Niche normie
N,0,Y,D,N,N,Y,Y,A,0,N,Y,A,N,A,N,N,Y,Y,0,Y,Y,Y,N,Y,Y,Y,N,Y,Y,D,D,A,Y,othersex,14,24,33,41,54,tropical,3.0,-0.75,Cool normie
D,N,Y,0,A,0,Y,Y,Y,D,N,N,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,Y,0,othersex,14,24,33,41,54,dry,-1.0,0.75,Lame normie
0,Y,Y,A,Y,N,N,Y,A,0,N,A,A,N,0,N,N,N,A,0,Y,Y,Y,Y,N,Y,Y,Y,Y,D,Y,D,Y,A,othersex,14,24,33,41,54,mild,0.0,0.0,Cool normie
N,D,D,N,A,0,Y,N,D,N,Y,0,D,Y,D,Y,Y,N,N,Y,Y,N,N,Y,N,Y,Y,Y,N,0,Y,0,Y,N,othersex,14,24,33,41,54,snow,-5.0,-2.0,Sperg
A,Y,N,A,A,Y,Y,N,A,Y,N,Y,Y,Y,Y,Y,N,Y,0,0,Y,Y,N,Y,Y,N,Y,N,Y,A,D,Y,Y,0,othersex,14,24,33,41,54,polar,0.0,5.75,Niche normie
D,0,N,Y,0,0,N,N,N,Y,Y,Y,A,Y,D,Y,N,N,N,Y,Y,N,N,Y,N,Y,N,Y,N,A,A,A,A,N,othersex,14,24,33,42,51,tropical,-6.0,0.25,Sperg
0,0,N,A,D,N,N,Y,N,D,Y,D,A,N,A,Y,N,Y,A,D,N,Y,Y,N,Y,N,N,N,N,Y,D,D,A,D,othersex,14,24,33,42,51,dry,1.0,-2.75,Cool normie
N,0,A,A,D,A,N,N,N,N,N,Y,N,N,D,Y,Y,N,A,D,Y,N,Y,N,N,N,N,N,Y,Y,Y,0,0,D,othersex,14,24,33,42,51,mild,-2.0,-1.0,Lame normie
0,N,D,D,N,0,Y,Y,A,Y,N,A,0,Y,D,Y,Y,Y,A,D,Y,N,N,Y,N,N,N,Y,Y,N,D,0,N,N,othersex,14,24,33,42,51,snow,-5.0,2.0,Failed normie
D,0,Y,N,N,Y,Y,N,N,A,Y,0,A,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N,Y,Y,D,D,Y,0,A,othersex,14,24,33,42,51,polar,-5.0,0.0,Sperg
A,Y,D,A,0,0,Y,N,N,A,Y,A,N,N,D,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,Y,Y,N,N,D,N,A,othersex,14,24,33,42,52,tropical,-1.0,3.75,Niche normie
N,Y,D,Y,0,0,Y,N,N,A,N,D,0,Y,A,Y,Y,N,Y,A,N,N,Y,Y,Y,N,Y,N,N,A,A,A,N,Y,othersex,14,24,33,42,52,dry,-1.0,-2.25,Lame normie
N,N,D,A,D,A,Y,N,Y,D,N,Y,D,Y,N,N,Y,Y,Y,N,N,Y,N,Y,Y,N,N,Y,N,N,A,N,0,Y,othersex,14,24,33,42,52,mild,-2.0,-0.25,Lame normie
D,D,0,Y,0,0,Y,Y,Y,N,N,A,Y,Y,D,Y,Y,Y,Y,A,N,N,N,Y,Y,Y,N,N,N,D,0,Y,D,D,othersex,14,24,33,42,52,snow,-2.0,0.5,Lame normie
N,A,N,Y,D,Y,N,N,A,0,N,N,N,N,0,Y,N,N,0,Y,Y,N,N,N,Y,N,Y,Y,N,N,D,N,A,D,othersex,14,24,33,42,52,polar,-4.0,-4.5,Sperg
0,N,0,0,D,N,N,Y,N,N,N,N,A,Y,N,Y,N,Y,N,D,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,0,N,othersex,14,24,33,42,53,tropical,-4.0,0.25,Sperg
A,N,Y,A,0,N,N,Y,N,A,Y,A,0,N,D,Y,N,N,0,N,N,N,N,N,Y,Y,N,Y,N,0,0,D,0,A,othersex,14,24,33,42,53,dry,-2.0,3.25,Niche normie
A,N,Y,0,N,Y,Y,N,N,D,Y,A,N,N,D,Y,N,N,Y,Y,N,Y,N,N,N,Y,Y,N,N,D,Y,Y,0,0,othersex,14,24,33,42,53,mild,1.0,-1.75,Cool normie
Y,N,Y,D,A,A,N,N,0,Y,Y,N,0,Y,A,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,D,Y,0,Y,Y,othersex,14,24,33,42,53,snow,-4.0,0.5,Sperg
A,0,Y,A,A,D,N,N,Y,D,Y,Y,Y,Y,D,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,0,N,Y,othersex,14,24,33,42,53,polar,4.0,4.75,Normie
0,N,D,0,Y,0,Y,N,N,A,N,Y,0,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,Y,N,Y,N,A,D,A,A,D,othersex,14,24,33,42,54,tropical,-2.0,-1.0,Lame normie
Y,A,0,D,Y,A,Y,N,D,0,Y,N,D,N,A,N,N,N,A,A,N,Y,Y,N,N,Y,N,Y,Y,N,A,A,0,D,othersex,14,24,33,42,54,dry,2.0,-5.0,Cool normie
D,A,A,Y,A,0,Y,N,Y,Y,Y,Y,0,Y,N,N,N,N,D,A,N,N,Y,Y,N,Y,N,N,N,N,Y,0,Y,Y,othersex,14,24,33,42,54,mild,-2.0,2.5,Niche normie
0,D,D,A,D,A,Y,N,N,N,N,A,D,N,D,Y,Y,Y,A,A,N,N,N,Y,Y,Y,N,N,Y,N,A,N,N,A,othersex,14,24,33,42,54,snow,0.0,-2.0,Cool normie
D,N,N,N,D,N,Y,N,N,0,Y,N,N,N,0,Y,Y,N,0,N,N,Y,N,Y,N,Y,N,Y,N,Y,0,A,A,A,othersex,14,24,33,42,54,polar,-2.0,-2.25,Lame normie
0,0,N,N,Y,D,N,Y,Y,D,Y,0,N,N,D,N,Y,N,A,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,D,A,A,0,othersex,14,24,33,43,51,tropical,1.0,-2.25,Cool normie
N,Y,A,N,0,D,Y,N,0,N,Y,0,0,Y,N,N,N,Y,A,N,N,N,N,N,Y,N,Y,N,N,A,D,A,N,D,othersex,14,24,33,43,51,dry,-1.0,-0.5,Lame normie
0,D,N,A,0,Y,Y,N,0,D,Y,A,0,N,N,N,Y,N,0,A,Y,N,Y,Y,Y,N,N,N,N,N,A,Y,0,Y,othersex,14,24,33,43,51,mild,-4.0,-1.5,Sperg
N,A,D,D,N,N,Y,N,A,A,N,D,D,Y,A,N,Y,N,A,0,Y,N,Y,Y,Y,Y,Y,N,N,0,N,D,A,D,othersex,14,24,33,43,51,snow,-2.0,-5.0,Lame normie
A,0,D,A,D,A,N,N,0,A,Y,Y,0,N,0,N,N,Y,D,Y,Y,Y,N,Y,N,N,Y,N,N,A,A,0,A,Y,othersex,14,24,33,43,51,polar,-3.0,3.0,Niche normie
Y,D,Y,D,N,A,N,Y,N,A,Y,Y,0,Y,A,Y,Y,Y,0,0,N,Y,N,Y,N,N,N,N,N,N,A,D,Y,D,othersex,14,24,33,43,52,tropical,-2.0,2.0,Niche normie
A,D,A,D,0,Y,Y,N,D,D,Y,0,A,Y,D,N,N,Y,D,Y,Y,Y,Y,Y,N,N,Y,N,N,D,A,0,Y,0,othersex,14,24,33,43,52,dry,-2.0,0.5,Lame normie
N,0,A,A,D,D,Y,Y,0,Y,N,Y,D,N,A,Y,N,N,D,N,Y,Y,Y,N,Y,N,N,Y,N,D,A,A,Y,D,othersex,14,24,33,43,52,mild,-2.0,0.0,Lame normie
A,N,D,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,N,Y,N,A,Y,N,0,N,othersex,14,24,33,43,52,snow,-2.0,2.25,Niche normie
0,N,A,0,A,D,Y,N,0,A,N,N,Y,Y,D,N,Y,Y,D,0,Y,Y,N,Y,Y,Y,Y,Y,Y,D,N,A,N,A,othersex,14,24,33,43,52,polar,0.0,3.75,Niche normie
A,D,0,A,N,D,Y,Y,Y,N,N,A,N,N,0,N,N,N,N,D,Y,N,Y,Y,Y,N,Y,N,N,D,A,D,A,A,othersex,14,24,33,43,53,tropical,-3.0,0.75,Lame normie
Y,Y,0,D,A,N,N,Y,0,Y,Y,D,A,N,Y,Y,N,Y,A,A,Y,Y,N,Y,Y,Y,N,Y,N,N,Y,D,N,N,othersex,14,24,33,43,53,dry,-3.0,-2.25,Lame normie
D,N,D,D,D,0,N,N,Y,N,N,Y,0,N,A,Y,Y,Y,0,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,A,A,A,A,othersex,14,24,33,43,53,mild,2.0,-3.0,Cool normie
0,A,0,D,0,Y,Y,N,A,0,N,0,0,N,0,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,A,Y,N,0,0,othersex,14,24,33,43,53,snow,-3.0,-0.75,Lame normie
A,0,D,D,A,N,N,N,D,Y,N,D,N,N,A,Y,N,Y,D,0,N,N,N,Y,Y,N,N,N,Y,D,Y,N,N,N,othersex,14,24,33,43,53,polar,-1.0,-4.25,Lame normie
A,A,Y,D,0,0,N,Y,D,D,Y,A,A,N,N,Y,Y,N,A,A,N,Y,Y,Y,Y,N,Y,N,N,0,D,A,D,N,othersex,14,24,33,43,54,tropical,1.0,-1.75,Cool normie
N,A,N,0,Y,D,Y,Y,Y,D,N,A,Y,Y,D,N,N,N,A,N,N,Y,N,Y,Y,N,Y,N,N,N,Y,N,0,0,othersex,14,24,33,43,54,dry,0.0,-0.75,Cool normie
0,0,N,D,Y,0,Y,N,D,N,N,0,0,Y,0,Y,Y,Y,A,A,N,Y,N,Y,Y,Y,N,N,Y,Y,A,A,D,N,othersex,14,24,33,43,54,mild,2.0,-2.25,Cool normie
N,A,A,D,Y,A,Y,Y,A,D,N,D,N,N,Y,N,N,N,Y,D,N,Y,Y,N,Y,Y,N,Y,Y,0,0,0,D,0,othersex,14,24,33,43,54,snow,3.0,-1.5,Cool normie
D,0,A,D,A,Y,Y,N,D,A,N,D,N,Y,0,Y,N,Y,D,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,A,N,D,0,othersex,14,24,33,43,54,polar,3.0,1.0,Cool normie
N,D,Y,D,D,A,N,N,Y,0,N,Y,Y,Y,A,N,Y,N,0,A,N,Y,N,N,N,N,Y,Y,Y,N,D,Y,D,A,othersex,14,24,34,41,51,tropical,0.0,-5.5,Cool normie
A,D,0,N,A,Y,Y,Y,N,0,Y,D,0,N,N,N,N,Y,0,D,N,N,Y,N,Y,N,Y,N,N,Y,0,Y,N,N,othersex,14,24,34,41,51,dry,-1.0,1.75,Niche normie
A,A,N,A,N,D,N,N,0,N,N,0,A,N,Y,N,Y,N,0,A,N,Y,N,N,Y,N,Y,N,Y,A,0,D,0,N,othersex,14,24,34,41,51,mild,2.0,-3.25,Cool normie
0,Y,0,Y,D,N,Y,Y,0,A,N,D,D,Y,N,N,N,N,A,D,N,N,Y,N,Y,N,Y,Y,Y,N,D,N,N,A,othersex,14,24,34,41,51,snow,0.0,-2.75,Cool normie
A,N,A,Y,D,0,N,Y,D,0,N,0,A,Y,0,N,N,N,D,A,Y,N,N,N,N,N,Y,N,Y,N,N,N,0,N,othersex,14,24,34,41,51,polar,-3.0,-2.5,Lame normie
Y,Y,N,0,Y,A,Y,Y,Y,Y,N,N,N,Y,A,Y,N,N,D,0,N,N,N,Y,Y,Y,N,N,N,0,N,Y,N,Y,othersex,14,24,34,41,52,tropical,-2.5,2.25,Niche normie
Y,D,Y,N,A,0,Y,Y,0,A,N,0,Y,N,A,Y,N,Y,D,A,N,Y,N,Y,Y,Y,Y,N,N,N,Y,A,A,N,othersex,14,24,34,41,52,dry,0.5,2.75,Niche normie
N,N,D,Y,0,0,N,Y,0,Y,Y,A,A,N,A,Y,Y,Y,0,A,N,Y,N,Y,Y,Y,N,Y,Y,Y,D,Y,N,0,othersex,14,24,34,41,52,mild,0.5,0.75,Cool normie
Y,N,Y,Y,N,0,Y,N,0,0,N,Y,D,N,A,Y,Y,N,A,D,N,Y,Y,Y,Y,Y,Y,Y,N,0,D,N,0,N,othersex,14,24,34,41,52,snow,0.5,-3.0,Cool normie
N,0,D,D,N,D,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,0,0,N,N,N,N,Y,N,N,Y,N,Y,0,A,Y,D,othersex,14,24,34,41,52,polar,-3.5,-3.5,Lame normie
A,Y,N,N,A,N,Y,Y,Y,D,N,Y,D,N,D,Y,N,Y,A,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,0,D,Y,Y,othersex,14,24,34,41,53,tropical,2.0,0.5,Cool normie
N,N,0,A,0,Y,Y,N,D,0,N,A,A,Y,0,Y,N,N,0,D,N,N,N,Y,Y,N,Y,Y,N,0,A,D,0,Y,othersex,14,24,34,41,53,dry,-3.0,1.0,Lame normie
A,Y,A,A,Y,D,N,Y,A,D,Y,D,A,N,0,Y,Y,N,0,D,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,D,A,0,othersex,14,24,34,41,53,mild,-2.0,3.0,Niche normie
D,D,D,A,0,0,N,Y,0,N,N,A,0,Y,Y,N,Y,Y,Y,A,N,N,Y,N,N,Y,N,N,N,N,N,Y,A,N,othersex,14,24,34,41,53,snow,-1.0,-2.0,Lame normie
Y,D,Y,Y,0,D,Y,Y,D,A,Y,0,N,N,A,Y,Y,Y,A,Y,N,N,Y,N,N,N,Y,Y,N,D,A,A,N,A,othersex,14,24,34,41,53,polar,-2.0,0.25,Lame normie
0,D,D,0,0,N,N,Y,0,D,Y,D,D,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,A,0,0,othersex,14,24,34,41,54,tropical,0.0,-3.5,Cool normie
Y,Y,A,N,Y,N,Y,N,D,0,N,0,Y,N,Y,Y,N,Y,A,0,N,N,Y,Y,Y,Y,N,N,Y,D,N,Y,0,D,othersex,14,24,34,41,54,dry,1.0,-2.25,Cool normie
N,D,D,A,N,D,N,N,Y,D,N,A,Y,Y,A,N,Y,N,A,0,N,N,Y,N,N,N,Y,Y,N,D,A,A,D,D,othersex,14,24,34,41,54,mild,-2.0,-6.25,Edge Lord
A,N,Y,Y,N,A,N,N,D,0,N,Y,D,Y,0,Y,Y,N,Y,A,N,N,N,Y,Y,Y,Y,N,N,D,A,A,A,A,othersex,14,24,34,41,54,snow,-1.0,-0.75,Lame normie
Y,N,D,N,N,N,Y,N,0,D,N,D,0,N,0,N,Y,Y,A,Y,Y,N,Y,Y,N,N,N,Y,Y,0,D,Y,A,0,othersex,14,24,34,41,54,polar,-4.0,-5.5,Sperg
N,0,Y,0,Y,D,N,N,A,0,Y,Y,A,Y,D,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,N,N,Y,Y,Y,D,Y,N,othersex,14,24,34,42,51,tropical,-2.0,4.0,Niche normie
